name,platform,year,genre,publisher,north_america_sales,europe_sales,japan_sales,global_sales
Six Flags Fun Park,Wii,2009.0,Misc,Ubisoft,0.28,0.1,0.0,0.41
Warhammer Online: Age of Reckoning,PC,2008.0,Role-Playing,GOA,0.0,0.02,0.0,0.02
MySims Agents,Wii,2009.0,Adventure,Electronic Arts,0.62,0.32,0.0,1.05
Kouchuu Ouja Mushi King,GBA,2005.0,Action,Sega,0.0,0.0,0.7,0.72
PC Engine Best Collection: Tengai Makyou Collection,PSP,2008.0,Role-Playing,Hudson Soft,0.0,0.0,0.02,0.02
NFL Tour,PS3,2008.0,Sports,Electronic Arts,0.1,0.01,0.0,0.12
FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,1.08
Animal Crossing,GC,2001.0,Simulation,Nintendo,1.92,0.16,0.99,3.15
The Dukes of Hazzard: Return of the General Lee,PS2,2004.0,Racing,Ubisoft,0.11,0.08,0.0,0.21
World Cup '98 France: Road to Win,SAT,1998.0,Sports,Sega,0.0,0.0,0.09,0.09
Maximum Racing: GP Classic Racing,Wii,2010.0,Racing,Nordic Games,0.03,0.0,0.0,0.03
Where the Wild Things Are,PS3,2009.0,Platform,Warner Bros. Interactive Entertainment,0.09,0.01,0.0,0.11
Monsters vs. Aliens,PS2,2009.0,Action,Activision,0.11,0.0,0.0,0.19
50 Cent: Blood on the Sand,X360,2009.0,Shooter,THQ,0.12,0.07,0.0,0.21
Mortal Kombat: Armageddon,Wii,2007.0,Fighting,Midway Games,0.21,0.02,0.0,0.25
Hitman: Contracts,XB,2004.0,Shooter,Eidos Interactive,0.26,0.07,0.0,0.34
Dr. Seuss: How the Grinch Stole Christmas,DS,2007.0,Action,CokeM Interactive,0.29,0.0,0.0,0.31
Martian Gothic: Unification,PS,2001.0,Adventure,Take-Two Interactive,0.06,0.04,0.0,0.11
Ben 10: Protector of Earth,PSP,2007.0,Action,D3Publisher,0.23,0.31,0.0,0.72
Polaris SnoCross,PS,2000.0,Racing,Vatical Entertainment,0.09,0.06,0.0,0.16
Pro Yaky? Spirits 6,PS2,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.13
Bleach: Heat the Soul 5,PSP,2008.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.08,0.08
Tales of Rebirth,PSP,2008.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.07
Xenosaga Episode III: Also sprach Zarathustra,PS2,2006.0,Role-Playing,Namco Bandai Games,0.09,0.07,0.18,0.37
Strike Force Bowling,XB,2004.0,Sports,Crave Entertainment,0.03,0.01,0.0,0.04
Kid Fit Island Resort,Wii,2010.0,Sports,Avanquest,0.05,0.0,0.0,0.06
Resident Evil 2: Dual Shock Edition,PS,1998.0,Action,Capcom,0.0,0.0,0.26,0.27
Samba De Amigo,Wii,2008.0,Misc,Sega,0.42,0.37,0.01,0.9
Fatal Fury: Battle Archives Volume 1 (JP sales),PS2,2006.0,Fighting,Ignition Entertainment,0.0,0.0,0.01,0.01
Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,2006.0,Misc,Square Enix,0.0,0.0,0.11,0.11
Spanish for Everyone!,DS,2007.0,Puzzle,Activision,0.02,0.0,0.0,0.02
Scooby-Doo! First Frights,PS2,2009.0,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0.0,0.33
18 Wheeler: American Pro Trucker,PS2,2001.0,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.4
Naruto: Ultimate Ninja Heroes,PSP,2006.0,Fighting,Namco Bandai Games,0.26,0.0,0.0,0.26
Dragon Ball Z: Buu's Fury,GBA,2004.0,Action,Atari,0.44,0.16,0.0,0.61
Brain Assist,DS,2007.0,Misc,Sega,0.12,0.0,0.0,0.13
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,7.2
Ninja Reflex,DS,2008.0,Action,Electronic Arts,0.09,0.0,0.0,0.1
Road Rash: Jailbreak,GBA,2003.0,Racing,Zoo Digital Publishing,0.07,0.03,0.0,0.1
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,6.83
Crimson Tears,PS2,2004.0,Role-Playing,Capcom,0.02,0.01,0.0,0.03
Sega Soccer Slam,GC,2002.0,Sports,Sega,0.05,0.01,0.0,0.07
Ford Mustang: The Legend Lives,PS2,2005.0,Racing,Take-Two Interactive,0.14,0.11,0.0,0.29
The Mysterious Case of Dr. Jekyll and Mr. Hyde,DS,2010.0,Adventure,O-Games,0.02,0.03,0.0,0.06
N+,DS,2007.0,Platform,Atari,0.06,0.0,0.0,0.07
Madden NFL 09,PS3,2008.0,Sports,Electronic Arts,1.56,0.15,0.0,1.89
James Bond 007: Nightfire,GBA,2003.0,Shooter,Electronic Arts,0.1,0.04,0.0,0.13
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wu-Hen,PSP,2010.0,Adventure,Yeti,0.0,0.0,0.03,0.03
Planet Monsters,GBA,2001.0,Action,Titus,0.01,0.0,0.0,0.01
IndyCar Series,PS2,2003.0,Racing,Codemasters,0.06,0.05,0.0,0.12
Castlevania: Aria of Sorrow,GBA,2003.0,Platform,Konami Digital Entertainment,0.2,0.07,0.0,0.28
Atari Anniversary Edition Redux,PS,2000.0,Misc,Infogrames,0.1,0.07,0.0,0.18
Spider-Man: Shattered Dimensions,Wii,2010.0,Action,Activision,0.13,0.09,0.0,0.24
Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,PS,1998.0,Sports,Axela,0.0,0.0,0.24,0.25
Mario Bros.,NES,1983.0,Platform,Nintendo,0.51,0.12,1.63,2.28
ATV Quad Kings,DS,2010.0,Racing,Storm City Games,0.1,0.0,0.0,0.11
Moon Patrol,2600,1982.0,Shooter,Atari,1.05,0.06,0.0,1.12
Sega GT,DC,2000.0,Racing,Sega,0.0,0.0,0.13,0.13
Wild ARMs 2,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.67
Dora the Explorer: Dora Saves the Crystal Kingdom,PS2,2009.0,Misc,Take-Two Interactive,0.05,0.04,0.0,0.09
Disaster Report,PS2,2002.0,Action,Agetec,0.03,0.02,0.15,0.21
Madden NFL 07,DS,2006.0,Sports,Electronic Arts,0.2,0.0,0.0,0.22
Final Fantasy Collection,PS,1999.0,Role-Playing,Square,0.0,0.0,0.42,0.45
SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004.0,Misc,,0.15,0.05,0.0,0.21
MTV Music Generator,PS,1999.0,Misc,Codemasters,0.26,0.18,0.0,0.47
Hot Shots Golf 2,PS,1999.0,Sports,Sony Computer Entertainment,0.25,0.12,1.48,1.88
Horse Life Adventures,Wii,2008.0,Simulation,Deep Silver,0.13,0.01,0.0,0.15
Nodame Cantabile,PS2,2007.0,Misc,Banpresto,0.0,0.0,0.01,0.01
Poy Poy,PS,1997.0,Action,Konami Digital Entertainment,0.01,0.01,0.0,0.03
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003.0,Role-Playing,Nintendo,0.21,0.05,0.0,0.27
BioShock 2,PS3,2010.0,Shooter,Take-Two Interactive,0.85,0.47,0.02,1.55
Pariah,XB,2005.0,Action,Hip Interactive,0.08,0.02,0.0,0.1
International Track & Field,PS,1996.0,Sports,Konami Digital Entertainment,0.08,0.05,0.35,0.51
Star Wars: Starfighter,PS2,2001.0,Simulation,Activision,0.61,0.87,0.02,1.76
"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 2: Shinseiki Evangelion - Shito, Futatabi",DS,2008.0,Misc,D3Publisher,0.0,0.0,0.08,0.08
Family Party: 30 Great Games Winter Fun,Wii,2010.0,Sports,D3Publisher,0.21,0.0,0.0,0.23
Mercenaries 2: World in Flames,X360,2008.0,Shooter,Electronic Arts,0.65,0.3,0.01,1.06
Nicktoons Collection: Game Boy Advance Video Volume 3,GBA,2005.0,Misc,,0.01,0.01,0.0,0.02
NHL 09,PS2,2008.0,Sports,Electronic Arts,0.07,0.06,0.0,0.15
Street Fighter Anniversary Collection,PS2,2004.0,Fighting,Capcom,0.32,0.25,0.0,0.66
Turok,X360,2008.0,Action,Touchstone,0.46,0.21,0.01,0.75
2010 FIFA World Cup South Africa,PSP,2010.0,Sports,Electronic Arts,0.09,0.24,0.03,0.48
40 Winks,PS,1999.0,Platform,GT Interactive,0.17,0.12,0.0,0.31
Penguin no Mondai: The World,DS,2010.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.1,0.1
Monster Rancher,PS,1997.0,Simulation,Tecmo Koei,0.12,0.08,0.74,1.01
F1 ROC: Race of Champions,SNES,1992.0,Sports,Ocean,0.0,0.0,0.28,0.28
Tom Clancy's Rainbow Six 3,XB,2003.0,Shooter,Ubisoft,0.91,0.57,0.0,1.55
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,10.57
Conflict: Desert Storm II - Back to Bagdhad,XB,2003.0,Shooter,SCi,0.21,0.06,0.0,0.28
Soccer Tsuku DS: World Challenge 2010,DS,2010.0,Sports,Sega,0.0,0.0,0.13,0.13
Harry Potter and the Sorcerer's Stone,PS2,2003.0,Action,Electronic Arts,0.14,0.11,0.0,0.28
Purr Pals,DS,2007.0,Simulation,THQ,0.18,0.36,0.0,0.56
Call of Duty 3,X360,2006.0,Shooter,Activision,1.49,0.93,0.02,2.71
NFL 2K1,DC,2000.0,Sports,Sega,1.02,0.05,0.0,1.09
Playmobil Pirates,DS,2009.0,Action,Mindscape,0.08,0.0,0.0,0.09
Gitaroo Man,PS2,2001.0,Misc,THQ,0.02,0.02,0.0,0.05
Big League Sports: Summer,DS,2009.0,Sports,Activision,0.1,0.0,0.0,0.11
Mimana Iyar Chronicle,PSP,2009.0,Role-Playing,GungHo,0.07,0.0,0.01,0.09
Left 4 Dead 2,PC,2009.0,Shooter,Valve Software,0.0,0.32,0.0,0.37
Power Pro Kun Pocket 12,DS,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.19
Let's Ride! Dreamer,GBA,2005.0,Adventure,DTP Entertainment,0.05,0.02,0.0,0.07
FIFA 06: Road to FIFA World Cup,X360,2005.0,Sports,Electronic Arts,0.11,0.02,0.01,0.15
Namco Museum: 50th Anniversary,GBA,2005.0,Misc,Namco Bandai Games,0.14,0.05,0.0,0.2
Resident Evil: Outbreak,PS2,2003.0,Action,Capcom,0.54,0.35,0.46,1.45
Spy Fox in Dry Cereal,Wii,2008.0,Adventure,Majesco Entertainment,0.06,0.0,0.0,0.06
Top Spin 3,DS,2008.0,Action,D3Publisher,0.11,0.02,0.0,0.14
Oyaku de Asoberu DS Ehon: Ukkari Penelope,DS,2008.0,Simulation,Tecmo Koei,0.0,0.0,0.02,0.02
Army Men 3D,PS,1999.0,Action,3DO,1.1,0.14,0.0,1.28
Ikki Tousen: Xross Impact,PSP,2010.0,Action,Marvelous Interactive,0.0,0.0,0.06,0.06
Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,4.12
Hakuouki: Reimeiroku,PS2,2010.0,Adventure,Idea Factory,0.0,0.0,0.05,0.05
Sonic Jam,SAT,1997.0,Platform,Sega,0.0,0.0,0.12,0.12
Zubo,DS,2008.0,Misc,Electronic Arts,0.09,0.03,0.0,0.12
Pro Race Driver,PS2,2002.0,Racing,Codemasters,0.13,0.1,0.0,0.27
ECW Anarchy Rulz,PS,1999.0,Fighting,Acclaim Entertainment,0.06,0.04,0.0,0.11
Juiced 2: Hot Import Nights,PC,2007.0,Racing,THQ,0.0,0.01,0.0,0.01
Penny Racers,PS,1996.0,Racing,Sony Computer Entertainment,0.0,0.0,0.23,0.25
Pachinko Kamen Rider: Shocker Zenmetsu Daisakusen,PS2,2008.0,Misc,Hackberry,0.0,0.0,0.03,0.03
Need For Speed: Undercover,Wii,2008.0,Racing,Electronic Arts,0.27,0.32,0.0,0.67
FIFA Soccer 64,N64,1997.0,Sports,Electronic Arts,0.16,0.3,0.0,0.49
Sonic Classic Collection,DS,2010.0,Platform,Sega,0.99,0.8,0.0,1.97
Maximum Racing: Drag & Stock Racer,Wii,2010.0,Racing,Nordic Games,0.03,0.0,0.0,0.03
Herbie: Fully Loaded,GBA,2005.0,Racing,Disney Interactive Studios,0.24,0.09,0.0,0.34
SingStar Queen,PS2,2009.0,Misc,Sony Computer Entertainment,0.08,0.12,0.0,0.63
IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,0.34,0.26,0.0,0.7
The Chronicles of Riddick: Assault on Dark Athena,PC,2009.0,Shooter,Vivendi Games,0.0,0.01,0.0,0.01
Hamsterz Life,DS,2006.0,Action,Ubisoft,0.43,0.01,0.0,0.47
Pure Futbol,X360,2010.0,Sports,Ubisoft,0.08,0.09,0.0,0.18
Jak 3,PS2,2004.0,Platform,Sony Computer Entertainment,1.33,0.49,0.0,1.85
Heisei Kyouiku linkai DS,DS,2006.0,Misc,Namco Bandai Games,0.0,0.0,0.21,0.21
Chicken Shoot 2,GBA,2005.0,Adventure,Zoo Digital Publishing,0.02,0.01,0.0,0.03
Gummy Bears Mini Golf,DS,2010.0,Sports,Storm City Games,0.04,0.0,0.0,0.05
NBA Ballers: Chosen One,X360,2008.0,Sports,Midway Games,0.17,0.0,0.0,0.19
Dewy's Adventure,Wii,2007.0,Platform,Konami Digital Entertainment,0.14,0.0,0.01,0.16
Buzz! The Music Quiz,PS2,2005.0,Misc,Sony Computer Entertainment,0.0,1.18,0.0,1.61
Tropico 3,PC,2009.0,Strategy,Kalypso Media,0.0,0.04,0.0,0.05
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,35.82
Dirge of Cerberus: Final Fantasy VII,PS2,2006.0,Shooter,Square Enix,0.47,0.37,0.52,1.48
Stunt Race FX,SNES,1993.0,Racing,Nintendo,0.0,0.0,0.35,0.35
Dragon Quest Heroes: Rocket Slime,DS,2005.0,Action,Square Enix,0.13,0.0,0.31,0.45
Margot's Word Brain,Wii,2008.0,Puzzle,Zoo Digital Publishing,0.12,0.0,0.0,0.13
Vitamin Z Revolution,PSP,2010.0,Adventure,D3Publisher,0.0,0.0,0.02,0.02
Casper's Scare School: Spooky Sports Day,DS,2009.0,Sports,Blast! Entertainment Ltd,0.02,0.0,0.0,0.02
World's Scariest Police Chases,PS,2001.0,Racing,Activision,0.2,0.14,0.0,0.36
Hitman 2: Silent Assassin,GC,2003.0,Action,Eidos Interactive,0.1,0.03,0.0,0.13
Classic NES Series: Metroid,GBA,2004.0,Adventure,Nintendo,0.26,0.1,0.07,0.43
Real Bout Garou Densetsu Special: Dominated Mind,PS,1998.0,Fighting,SNK,0.0,0.0,0.05,0.06
Ultimate Board Game Collection,PSP,2007.0,Misc,Xplosiv,0.06,0.0,0.0,0.07
Blood Omen 2,GC,2002.0,Action,Eidos Interactive,0.04,0.01,0.0,0.05
NHL 2K10,Wii,2009.0,Sports,Take-Two Interactive,0.33,0.01,0.0,0.36
Go Diego Go! Great Dinosaur Rescue,Wii,2008.0,Action,Take-Two Interactive,0.53,0.02,0.0,0.59
Divinity II: Ego Draconis,X360,2009.0,Role-Playing,DTP Entertainment,0.18,0.04,0.0,0.24
Need for Speed: Nitro,DS,2009.0,Racing,Electronic Arts,0.22,0.13,0.0,0.39
Tomb Raider: Legend,X360,2006.0,Action,Eidos Interactive,0.27,0.08,0.01,0.39
Chaos;Head Noah,X360,2009.0,Adventure,5pb,0.0,0.0,0.04,0.04
Final Fight 2,SNES,1993.0,Action,Capcom,0.39,0.12,0.49,1.02
The King of Fighters '97,SAT,1998.0,Fighting,SNK,0.0,0.0,0.17,0.17
Star Wars: The Force Unleashed,PSP,2008.0,Action,LucasArts,0.43,0.41,0.0,1.09
Atelier Rorona: Alchemist of Arland,PS3,2009.0,Role-Playing,Nippon Ichi Software,0.22,0.12,0.11,0.5
Operation: Vietnam,DS,2007.0,Shooter,Majesco Entertainment,0.06,0.0,0.0,0.07
Magic: The Gathering - Battlemage,PS,1997.0,Strategy,Acclaim Entertainment,0.07,0.05,0.0,0.12
Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003.0,Fighting,Namco Bandai Games,0.0,0.0,0.63,0.63
The Lord of the Rings: The Return of the King,GC,2003.0,Action,Electronic Arts,0.53,0.14,0.0,0.69
Jitsumei Jikkyou Keiba Dream Classic 2002,PS2,2002.0,Sports,Namco Bandai Games,0.0,0.0,0.02,0.02
Need For Speed: Undercover,PS3,2008.0,Racing,Electronic Arts,0.63,1.02,0.05,2.08
The Settlers 7: Paths to a Kingdom,PC,2010.0,Strategy,Ubisoft,0.0,0.26,0.0,0.32
Monster Jam: Maximum Destruction,GC,2002.0,Racing,Ubisoft,0.04,0.01,0.0,0.05
Patapon 2,PSP,2008.0,Misc,Sony Computer Entertainment,0.0,0.03,0.06,0.11
Agatha Christie: And Then There Were None,Wii,2008.0,Adventure,The Adventure Company,0.06,0.01,0.0,0.08
IHRA Drag Racing 2,PS2,2002.0,Racing,Bethesda Softworks,0.64,0.5,0.0,1.31
Wario Land 3,GB,2000.0,Platform,Nintendo,1.11,0.51,0.34,2.2
Broken Sword: The Shadow of the Templars,GBA,2002.0,Adventure,BAM! Entertainment,0.04,0.02,0.0,0.06
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,GBA,2002.0,Action,THQ,0.19,0.07,0.0,0.26
RealSports Boxing,2600,1986.0,Sports,Atari,0.28,0.02,0.0,0.29
Sonic's Ultimate Genesis Collection,PS3,2009.0,Misc,Sega,1.34,0.62,0.0,2.27
Dragon Ball Z: Harukanaru Densetsu (JP sales),DS,2007.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.15
You Don't Know Jack: Mock 2,PS,2000.0,Misc,Vivendi Games,0.06,0.04,0.0,0.1
Walt Disney's The Jungle Book: Rhythm N'Groove,PS,2000.0,Misc,Sony Computer Entertainment,0.05,0.03,0.0,0.09
Indycar Series 2005,XB,2004.0,Action,Codemasters,0.06,0.02,0.0,0.08
NBA Jam Extreme,PS,1996.0,Sports,Acclaim Entertainment,0.12,0.08,0.0,0.22
